hw1,,,,,,,,,
Can we assume that the input for the coins is going to an integer value?,"For the coins question, should we be planning to handle a negative input for amounts, or can we expect all inputs to be positive integers?",,,,,,,,
"After doing some problems, I realized that there are some problems that do not need to be solved using recursion. However, the pre-existing format of the  homework looks like it used ""rec"" in each function. Do we have to try to make each of the functions recursive after we implement the test cases?","So I am facing a conceptual issue and visualizing the answer for the Kudos Question. I understand how to find the permutations for 2 element lists and 3 element lists but I do not understand how to do it for 4 and above. Even for 3, I was unable to use recursion.
This is my progress so far, and I was wondering if I could get any pointers to continue with? Also, are we allowed to use @ operator in the kudos problem?",,,,,,,,
"In the two test cases that are provided to us, why do we not have to provide an expected output for the test? I have provided the example below. 

let test () : bool = not (exists [false; false]);; run_test ""exists all false"" test
"let rec assoc (key: 'k) (l: ('k * 'v) list) : 'v =
  begin match l with
  | [] -&gt; failwith ""key not found""
  | ((k, v)::rest) -&gt; if key = k then v else assoc key rest
  end
I'm having an error here and not sure what it is. It says unbound value run_test. Checked other piazza posts and can't seem to fix it. When I try to run it I get :
Running: assoc: key found ...Test error: `assoc: key found` reported `HigherOrder.assoc: not implemented`ocamlbuild -lib graphics higherOrder.nativeFinished, 9 targets (6 cached) in 00:00:00../higherOrder.native

This is in higherOrder.ml

Thanks!","let rec transform (f: 'a -&gt; 'b) (l: 'a list) : 'b list =
  begin match l with
  | [] -&gt; []
  | x :: xs -&gt; f x :: transform f xs
  end

let rec texts_as_sets (s: (string * string list) list) : 
        (string * string set) list = 
        begin match s with 
        | [] -&gt; []
        | (x, y) :: xs -&gt; (x, set_of_list y) :: texts_as_sets xs 
        end
Hello! 

I was trying to write the texts_as_sets function that I wrote above using transform, but couldn't figure out how to apply a function only to the 2nd value of the tuple (as in when I pass in (x,y), I want to only apply set_of_list to y). Is there any way I can do that in the transform syntax? ",,,,,,,,
"For some reason, I am getting an error on the function we were provided string_of_counts. It is saying that String.concat is applied to too many arguments. Thoughts? Vocab.ml will not run currently. Thanks. ","When I run SetTest, the program always congested at a certain test. However, it is not denoting that I am trying to run an infinite loop. Is it because I accidentally changed some of the mli. files? Thank you so much.",,,,,,,,
"ocamlbuild -lib graphics tree.native+ /home/codio/.opam/4.04.0/bin/ocamlopt.opt -c -o tree.cmx tree.mlFile ""tree.ml"", line 1:Error: The implementation tree.ml does not match the interface tree.cmi: Values do not match: val delete : ('a tree -&gt; 'a) -&gt; ('a tree -&gt; 'a) tree -&gt; ('a tree -&gt; 'a) tree is not included in val delete : 'a -&gt; 'a tree -&gt; 'a tree File ""tree.ml"", line 302, characters 8-14: Actual declarationCommand exited with code 2.Compilation unsuccessful after building 12 targets (11 cached) in 00:00:00.make: *** [tree.native] Error 10codio@stretch-robot:~/workspace$


What does this error mean","Wocamlbuild -lib graphics higherOrder.native+ /home/codio/.opam/4.04.0/bin/ocamlopt.opt -c -o higherOrder.cmx higherOrder.mlFile ""higherOrder.ml"", line 1:Error: The implementation higherOrder.ml does not match the interface higherOrder.cmi: Values do not match: val assoc : int -&gt; (int * string) list -&gt; string is not included in val assoc : 'k -&gt; ('k * 'v) list -&gt; 'v File ""higherOrder.ml"", line 70, characters 8-13: Actual declarationCommand exited with code 2.Compilation unsuccessful after building 8 targets (6 cached) in 00:00:00.make: *** [higherOrder.native] Error 10codio@jacob-sound:~/workspace$

unclear as to what the issue is and what is the .cmi file?
How do i fix this error, there are no red dots on codio text editor",,,,,,,,
"When tree max, the following error appears:
Error: The implementation tree.ml does not match the interface tree.cmi:                                                    Values do not match: 
val tree_max : int tree -&gt; int, is not included in                                                                                                    val tree_max : 'a tree -&gt; 'a

This is really strange since I thought a generic 'a would accept any type","When I tried to compile my tree.ml, the following error shows up:

Error: The implementation tree.ml does not match the interface tree.cmi: Values do not match: val delete : int -&gt; int tree -&gt; int tree is not included in val delete : 'a -&gt; 'a tree -&gt; 'a tree File ""tree.ml"", line 238, characters 8-14: Actual declaration

","Hello, I receive this error in my code: 

File ""tree.ml"", line 1:Error: The implementation tree.ml does not match the interface tree.cmi: Values do not match: val delete : int -&gt; int tree -&gt; int tree is not included in val delete : 'a -&gt; 'a tree -&gt; 'a tree

What does this mean? Thank you.","Hello, I receive this error in my code: 

File ""tree.ml"", line 1:Error: The implementation tree.ml does not match the interface tree.cmi: Values do not match: val delete : int -&gt; int tree -&gt; int tree is not included in val delete : 'a -&gt; 'a tree -&gt; 'a tree

What does this mean? Thank you.",,,,,,
"let rec tree_max (t: 'a tree) : 'a =
  begin match t with
  | Node (Empty, x, Empty)-&gt; x
  | Node (lt, x, rt) -&gt; max (x, (max (tree_max lt, tree_max rt)))
  | Empty -&gt; failwith ""empty tree doesn't have maximum element""
  end
I keep getting an error for the 2nd line of pattern matching, specifically the right part of the arrow. I was wondering what's wrong with it! ","let num_leaves (t: 'a tree) : int =
  begin match t with 
  | Empty -&gt; 0
  | Node (lt, x, rt) -&gt; if (lt = Empty) &amp;&amp; (rt = Empty) then 0 else if
                        (lt = Empty) then 1 else if (rt = Empty) then 1
                        else 2
  end
I thought a helper function to check whether the left tree and the right tree have the same amount of leaves would help, but am kind of lost as to how I would go about it. Could I get any hints :( ",,,,,,,,
"Hello,

The grading script is telling me that my first error is ""cannot pass in empty tree"" for question three on binary trees. All of my functions for this section include an ""empty"" clause in the pattern match so I am not sure what is prompting this error. ","I'm getting an error in problem 8: ""Running: delete: node does not exist ... Test error: should have failed.""

I'm confused because I thought Vocab never runs the delete function, so how could this error message have been produced?",,,,,,,,
What should we return for the edge case that in_order's input is an empty tree?,Should is_complete () return true if inputing an empty tree?,,,,,,,,
"When I run higherOrder.ml and try to test assoc: key found, the code does not finish running. Does this mean I am causing it to enter an infinite loop? I cannot tell where this might be happening though.","I am trying to run vocab.ml right now, and I keep getting the above error, even though the code I used is that from the lecture, which definitely assumes BST variants. What could the problem be? ",,,,,,,,
"what does:

""After the tests are written, you should be able to implement the functions one at a time in the same order and see your tests incrementally pass.""

mean? 

also, i'm a bit confused how we are supposed to write tests with generic values. in class, we tested using integers but that assumes that type 'a is an integer, correct? even testing for both strings and integers doesn't cover nearly all the combinations... is it possible to define values of type 'a and use it for all the tests?","For setTest, I am using int sets for all my test cases. Is this ok? I remembered somewhere earlier in the assignment it stated that if we can prove a generic function works for ints it will work everything. Is it bad style to not try any other data type?",,,,,,,,
"When testing functions like ""add"" and ""remove,"" should we be using the ""equals"" function to check if they create sets that are equal? Would you recommend not using it, and testing equals separately?","In setTest, if we want to see if two sets are equal, can we do set1 = set2 or will this fail to cover BST abstraction?",,,,,,,,
"So I have been trying to implement set_of_list for a while and it doesn't seem to be working. I tried 
let rec set_of_list (l: 'a list) : 'a set = begin match l with |[] -&gt; [] |x :: rest -&gt; if (exists (fun z -&gt; z &lt; x) l) then set_of_list((filter' (fun z -&gt; z &lt; x) l) @ [x] @ (filter' (fun z -&gt; z &gt; x) l)) else x :: set_of_list rest end

This leads to all my test cases passing besides the ones where there are multiple repeating elements. So I tried adding onto it doing:

let rec set_of_list (l: 'a list) : 'a set = begin match l with |[] -&gt; [] |x :: rest -&gt; if (exists (fun z -&gt; z &lt; x) l) then set_of_list((filter' (fun z -&gt; z &lt; x) l) @ [x] @ (filter' (fun z -&gt; z &gt; x) l)) else if (exists (fun z -&gt; z = x) l) then set_of_list rest else x :: set_of_list rest end

but this seemed to make half of test cases go wrong. Do you know what might be the problem?","Something is very wrong with my add or set_of_list functions. When I print out the output of the size function with an input of size 6 using the current implementations of add and set_of_list, I get 50. Any suggestions as to why this would be happening?

 let rec add (x: 'a) (s: 'a set) : 'a set =     begin match s with      | [] -&gt; []     | y::tl -&gt; if x &lt; y then x::y::tl else y::(add x tl)      end

  let rec set_of_list (l: 'a list) : 'a set =    fold (fun x acc -&gt; add x acc) empty l
",,,,,,,,
"Having some trouble on the reverse function - seems the input type is different - any tips?

This is my code:

let reverse (l: 'a list) : 'a list =  fold (fun x acc -&gt; acc @ x) [] l
","I am getting an error ""Unbound value fold"" for this function in treeSet.ml and don't know why because I converted the BST into a list before putting it into fold. Any ideas?

(* Note that there's no `size` function in tree.ml -- you'll * have to implement this yourself rather than reusing code. *) let rec size (s: 'a set) : int = fold (fun x acc -&gt; 1 + acc) 0 list_of_set s",,,,,,,,
